objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,AS021901.png,"""Uncle Sam Sees The Danger""",The American Standard ,2/1/01,"Illustration Depicting Uncle Sam closing gates on a group of immigrants identified as Italian, Norwegian and Chinese",Introduction; Italian; Norwegian; Chinese,"Tacoma, Washington",47.25288,-122.44429,The Tacoma Public Library Northwest Room,AS021901.png,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,TW01121888.png,"""A Word of Caution to Emigrants Starting West""",Tacoma World,1888-01-21,Editorial on the front page of Tacoma newspaper directed towards immigrant population,Introduction ,"Tacoma, Washington",47.25288,-122.44429,The Tacoma Public Library Northwest Room,TW01121888.png,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,NegrophobiaAtTheNorthOregonianpublishedasMorningOregonianOctober251898p4.pdf,"""Negrophobia At The North""",The Morning Oregonian,1889-02-10,Editorial in The Morning Oregonian,Black,"Kittitas County, Washington",47.12417,-120.67972,NewsBank,NegrophobiaAtTheNorthOregonianpublishedasMorningOregonianOctober251898p4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll004,AimedatColoredWaitersReformProposedbytheOregonianpublishedasMorningOregonianOctober131908p8.pdf,"""Aimed At Colored Waiters""",The Morning Oregonian,10/13/08,Labor Organization article,Black,"Portland, Oregon",45.52345,-122.67621,NewsBank,AimedatColoredWaitersReformProposedbytheOregonianpublishedasMorningOregonianOctober131908p8.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll005,ADelayedRetributionOregonianpublishedasMorningOregonianJuly81892p4.pdf,"""A Delayed Retribution""",The Morning Oregonian,1892-08-06,Editorial in The Morning Oregonian,Black; Agriculture,"Portland, Oregon",45.52345,-122.67621,NewsBank,ADelayedRetributionOregonianpublishedasMorningOregonianJuly81892p4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll006,IdlenessAsCauseOfRaceRiotOregonianpublishedasMorningOregonianOctober61906p8.pdf,"""Idleness As Cause Of Race Riot""",The Morning Oregonian,10/6/06,News article commenting on actions of White mob in Texas.,Black; Agriculture,"Portland, Oregon",45.52345,-122.67621,NewsBank,IdlenessAsCauseOfRaceRiotOregonianpublishedasMorningOregonianOctober61906p8.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll007,WhyMurdersAreManyOregonianpublishedasMorningOregonianOctober291911p6.pdf,"""Why Murders Are Many""",The Morning Oregonian,10/29/11,Editorial commenting on homicide rates between United States and Canada.,Black; Mining,"Portland, Oregon",45.52345,-122.67621,NewsBank,WhyMurdersAreManyOregonianpublishedasMorningOregonianOctober291911p6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll008,20000NegroesMayBeShippedtoCaliforniapublishedasThe SeattleDailyTimesFebruary121928p5.pdf,"""20,000 Negroes May Be Shipped To California""",The Seattle Daily Times,2/12/28,News regarding banning of Mexican labor and reaction by the Agricultural Labor Board of San Joaquin Valley. ,Black; Agriculture,"Seattle, Washington",47.60621,-122.33207,NewsBank,20000NegroesMayBeShippedtoCaliforniapublishedasThe SeattleDailyTimesFebruary121928p5.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll009,NegroExodustoNorthisWatchedFederalOfficialsOregonianpublishedasTheSundayOregonianOctober281916p2.pdf,"""Negro Exodus To North Is Watched""",The Morning Oregonian,10/2/16,Speculative article focusing on the Department of labor tracking the northward movement of Black workers. ,Black,"Portland, Oregon",45.52345,-122.67621,NewsBank,NegroExodustoNorthisWatchedFederalOfficialsOregonianpublishedasTheSundayOregonianOctober281916p2.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll010,NegroImmigrationSeattlePostIntelligencerpublishedasTHEPOSTINTELLIGENCERNovember71916page6.pdf,"""Negro Immigration""",The Seattle Post-Intelligencer,11/7/16,Speculative article written about the Department of labor tracking the northward movement of Black workers with some conspiratorial elements of influencing voting in districts. ,Black; Agriculture,"Seattle, Washington",47.60621,-122.33207,NewsBank,NegroImmigrationSeattlePostIntelligencerpublishedasTHEPOSTINTELLIGENCERNovember71916page6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll011,NegroLaborUnlikelyConditionsInNorthwestNotOregonianMarch31918p13.pdf,"""Negro Labor Unlikely""",The Oregonian,3/3/18,State Commissioner Hoff speculating on whether Black communities will settle in the Pacific Northwest. ,Black,"Salem, Oregon",44.9429,-123.0351,NewsBank,NegroLaborUnlikelyConditionsInNorthwestNotOregonianMarch31918p13.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll012,ReedUrgedWorldSovietUnionofNegroesandOregonianpublishedasMorningOregonianNovember271920p4.pdf,"""Reed Urged World Soviet Union Of Negroes""",The Morning Oregonian,11/27/20,"Article on Portland writer John Reed's views on labor organization and collaboration between ""radicals"" and Black workers.",Black,"Portland, Oregon",45.52345,-122.67621,NewsBank,ReedUrgedWorldSovietUnionofNegroesandOregonianpublishedasMorningOregonianNovember271920p4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll013,030701AlphaStudyClub1945to46.pdf,"Meeting Program Book, ""The Races""",Alpha Study Club,1/1/45,"Program for women's study club featuring lectures ""Brothers Under the Skin"" and ""The Myth of the Negro Past.""",Black,"Tacoma, Washington",47.25288,-122.44429,The Tacoma Public Library Northwest Room,030701AlphaStudyClub1945to46.pdf,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll014,EMN1TranscriptExcerpt.pdf,"Nicholas, Elva Moore",Washington State Oral/Aural History Program,3/22/76,"Elva Moore Nichols describing how she moved to Washington , strike breaking in Roslyn and discrimination in grade school. ",Black; Mining,"Franklin County, Washington",46.53477,-118.89889,Washington State Archives,EMN1TranscriptExcerpt.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll015,EMN2TranscriptExcerpt.pdf,"Nicholas, Elva Moore",Washington State Oral/Aural History Program,3/22/76,"Elva Moore Nichols describing Jim Shepperson, a black labor agent in Roslyn and the differences between the various mining towns in Washington. ",Black; Mining,"Franklin County, Washington",46.53477,-118.89889,Washington State Archives,EMN2TranscriptExcerpt.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll016,IHGExcerptTranscript.pdf,"Grayson, Irene",Washington State Oral/Aural History Program,4/17/75,Mrs. Irene Grayson describing early Washington mining towns and recalling Mr. Shepperson and Black Masonic membership. ,Black; Mining,"Roslyn, Washington",46.733001,-116.991779,Washington State Archives,IHGExcerptTranscript.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll017,AnImmigrationInquestbytheSubCommitteeofTacomaDailyNewsNovember291890p5.pdf,"""An Immigration Inquest""",The Tacoma Daily News,1890-11-29,Various Tacoma businessmen give their views on Congressional immigration policies.,Chinese; Agriculture,"Tacoma, Washington",47.25288,-122.44429,NewsBank,AnImmigrationInquestbytheSubCommitteeofTacomaDailyNewsNovember291890p5.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll018,FactsAsTheyAreOregonianpublishedasMorningOregonianMarch41886p4.pdf,"""Facts As They Are""",The Morning Oregonian,1886-03-04,"Anti-exclusion editorial regarding Chinese labor , noting labor in Yamhill and Portland.",Chinese; Agriculture,"Yamhill, Oregon",45.2326,-123.30815,NewsBank,FactsAsTheyAreOregonianpublishedasMorningOregonianMarch41886p4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
