obj-old,filename,title,creator,date,description,subject,location,latitude,longitude,source,objectid,identifier,type,format,language,rights,rightsstatement
mappinglanguage001,AS021901.png,"""Uncle Sam Sees The Danger""",The American Standard,1901-02-01,"Illustration Depicting Uncle Sam closing gates on a group of immigrants identified as Italian, Norwegian and Chinese",Introduction; Italian; Norwegian; Chinese,"Tacoma, Washington",47.25288,-122.44429,The Tacoma Public Library Northwest Room,maplanguage001,AS021901.png,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
mappinglanguage002,TW01121888.png,"""A Word of Caution to Emigrants Starting West""",Tacoma World,1888-01-21,Editorial on the front page of Tacoma newspaper directed towards immigrant population,Transportation,"Tacoma, Washington",47.25288,-122.44429,The Tacoma Public Library Northwest Room,maplanguage002,TW01121888.png,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
mappinglanguage003,NegrophobiaAtTheNorthOregonianpublishedasMorningOregonianOctober251898p4.pdf,"""Negrophobia At The North""",The Morning Oregonian,1889-02-10,Editorial in The Morning Oregonian,Black; Mining,"Kittitas County, Washington",47.12417,-120.67972,NewsBank,maplanguage003,NegrophobiaAtTheNorthOregonianpublishedasMorningOregonianOctober251898p4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage004,AimedatColoredWaitersReformProposedbytheOregonianpublishedasMorningOregonianOctober131908p8.pdf,"""Aimed At Colored Waiters""",The Morning Oregonian,1908-10-13,Labor Organization article,Black,"Portland, Oregon",45.52345,-122.67621,NewsBank,maplanguage004,AimedatColoredWaitersReformProposedbytheOregonianpublishedasMorningOregonianOctober131908p8.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage005,ADelayedRetributionOregonianpublishedasMorningOregonianJuly81892p4.pdf,"""A Delayed Retribution""",The Morning Oregonian,1892-08-06,Editorial in The Morning Oregonian,Black; Agriculture,"Portland, Oregon",45.52345,-122.67621,NewsBank,maplanguage005,ADelayedRetributionOregonianpublishedasMorningOregonianJuly81892p4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage006,IdlenessAsCauseOfRaceRiotOregonianpublishedasMorningOregonianOctober61906p8.pdf,"""Idleness As Cause Of Race Riot""",The Morning Oregonian,1906-10-06,News article commenting on actions of White mob in Texas.,Black; Agriculture,"Portland, Oregon",45.52345,-122.67621,NewsBank,maplanguage006,IdlenessAsCauseOfRaceRiotOregonianpublishedasMorningOregonianOctober61906p8.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage007,WhyMurdersAreManyOregonianpublishedasMorningOregonianOctober291911p6.pdf,"""Why Murders Are Many""",The Morning Oregonian,1911-10-29,Editorial commenting on homicide rates between United States and Canada.,Black; Mining,"Portland, Oregon",45.52345,-122.67621,NewsBank,maplanguage007,WhyMurdersAreManyOregonianpublishedasMorningOregonianOctober291911p6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage008,20000NegroesMayBeShippedtoCaliforniapublishedasThe SeattleDailyTimesFebruary121928p5.pdf,"""20,000 Negroes May Be Shipped To California""",The Seattle Daily Times,1928-02-12,News regarding banning of Mexican labor and reaction by the Agricultural Labor Board of San Joaquin Valley.,Black; Agriculture,"Seattle, Washington",47.60621,-122.33207,NewsBank,maplanguage008,20000NegroesMayBeShippedtoCaliforniapublishedasThe SeattleDailyTimesFebruary121928p5.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage009,NegroExodustoNorthisWatchedFederalOfficialsOregonianpublishedasTheSundayOregonianOctober281916p2.pdf,"""Negro Exodus To North Is Watched""",The Morning Oregonian,1916-10-02,Speculative article focusing on the Department of labor tracking the northward movement of Black workers.,Black,"Portland, Oregon",45.52345,-122.67621,NewsBank,maplanguage009,NegroExodustoNorthisWatchedFederalOfficialsOregonianpublishedasTheSundayOregonianOctober281916p2.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage010,NegroImmigrationSeattlePostIntelligencerpublishedasTHEPOSTINTELLIGENCERNovember71916page6.pdf,"""Negro Immigration""",The Seattle Post-Intelligencer,1916-11-07,Speculative article written about the Department of labor tracking the northward movement of Black workers with some conspiratorial elements of influencing voting in districts.,Black; Agriculture,"Seattle, Washington",47.60621,-122.33207,NewsBank,maplanguage010,NegroImmigrationSeattlePostIntelligencerpublishedasTHEPOSTINTELLIGENCERNovember71916page6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
